Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.205621	0.086023	0.125517
g21534	-	1	+	37447	52266	0.329879	0.138007	0.201368
g21535	-	1	-	58322	62557	54.417343	22.765844	33.218025
g21536	-	1	+	64466	84798	56.151253	23.491238	34.276455
g21537	-	1	+	88347	97184	55.540180	23.235590	33.903439
g21538	-	1	-	100215	109729	100.233131	41.933174	61.185390
g21539	-	1	+	109867	128510	63.836109	26.706247	38.967529
g21540	-	1	-	132854	139285	30.034225	12.565011	18.333817
g21543	-	1	+	156444	157268	0.596364	0.249493	0.364039
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	407.336792	170.411957	248.650940
g21555	-	1	-	332282	348965	48.521297	20.299196	29.618895
g21556	-	1	+	349160	352265	67.005890	28.032345	40.902458
g21557	-	1	+	353765	356968	59.336418	24.823771	36.220779
g21558	-	1	-	361628	375371	0.479316	0.200525	0.292589
g21559	-	1	+	396421	397020	2.661389	1.113409	1.624594
g21560	-	1	+	401783	403405	0.124461	0.052069	0.075975
g21565	-	1	-	440659	443082	0.000000	0.000000	0.000000
g21566	-	1	-	443144	443635	1.026423	0.429411	0.626560
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.000000	0.000000	0.000000
g21574	-	1	+	560828	565350	0.000000	0.000000	0.000000
g21581	-	1	+	607804	608337	3.567416	1.492451	2.177661
g21583	-	1	+	622962	633865	28.463547	11.907907	17.375027
g21587	-	1	+	648193	648896	0.724638	0.303157	0.442341
g21588	-	1	-	666567	668312	0.158076	0.066132	0.096494
g21590	-	1	-	702479	702886	0.804410	0.336530	0.491037
g21592	-	1	-	707506	709230	0.395942	0.165645	0.241695
g21595	-	1	-	743708	771725	38.985146	16.309687	23.797733
g21596	-	1	-	778826	781380	1.047074	0.438050	0.639166
g21601	-	1	-	820948	851855	0.036783	0.015388	0.022453
g21603	-	1	+	875739	924977	43.567532	18.226755	26.594965
adi2mcaRNA24085_R9	-	1	+	928080	933095	0.504891	0.211224	0.308201
g21605	-	1	+	934505	935482	0.458672	0.191888	0.279988
g21606	-	1	-	935674	936417	7.395931	3.094135	4.514704
g21607	-	1	-	938963	941032	0.478744	0.200286	0.292240
g21608	-	1	+	945184	946113	14.011828	5.861938	8.553251
g21609	-	1	-	952903	989352	23.129957	9.676566	14.119240
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.910027	0.380716	0.555509
g21614	-	1	+	1045444	1046427	2.297764	0.961284	1.402626
adi2mcaRNA37268_R9	-	1	-	1093244	1096926	0.133627	0.055904	0.081570
g21619	-	1	-	1101300	1101608	2.540453	1.062815	1.550771
g21620	-	1	+	1121855	1134134	0.727590	0.304392	0.444143
g21621	-	1	+	1141502	1142461	0.455208	0.190439	0.277873
g21623	-	1	-	1169258	1175136	0.000000	0.000000	0.000000
g21625	-	1	-	1182106	1183374	0.176517	0.073847	0.107751
g21628	-	1	-	1234405	1276748	19.643703	8.218069	11.991122
g21630	-	1	-	1326918	1338740	44.936832	18.799612	27.430828
g21631	-	1	-	1347875	1349544	8.161377	3.414364	4.981956
g21632	-	1	+	1349810	1357710	10.354221	4.331755	6.320536
g21633	-	1	-	1361058	1381745	43.051674	18.010944	26.280067
g21634	-	1	+	1385571	1392430	31.806763	13.306563	19.415829
g21635	-	1	-	1396451	1417415	687.305969	287.538879	419.552765
g21636	-	1	+	1417568	1425363	38.278236	16.013947	23.366215
g21637	-	1	-	1427003	1427857	24.743860	10.351753	15.104415
g21638	-	1	-	1431855	1441370	1.694149	0.708758	1.034161
g21639	-	1	-	1442699	1443019	1.239875	0.518710	0.756858
