Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21534	-	1	+	37447	52266	0.000000	0.000000	0.000000
g21535	-	1	-	58322	62557	0.000000	0.000000	0.000000
g21536	-	1	+	64466	84798	281.138367	215.140930	325.551483
g21537	-	1	+	88347	97184	14.108800	10.796749	16.337652
g21538	-	1	-	100215	109729	15.306748	11.713478	17.724848
g21539	-	1	+	109867	128510	96.318970	73.708023	111.535057
g21540	-	1	-	132854	139285	3.236979	2.477096	3.748344
g21555	-	1	-	332282	348965	1.676852	1.283210	1.941754
g21556	-	1	+	349160	352265	0.000000	0.000000	0.000000
g21558	-	1	-	361628	375371	0.000000	0.000000	0.000000
g21595	-	1	-	743708	771725	25.062677	19.179195	29.021980
g21596	-	1	-	778826	781380	0.000000	0.000000	0.000000
g21603	-	1	+	875739	924977	12.150928	9.298489	14.070483
g21605	-	1	+	934505	935482	0.850444	0.650802	0.984794
g21609	-	1	-	952903	989352	9.094948	6.959902	10.531732
g21623	-	1	-	1169258	1175136	0.000000	0.000000	0.000000
g21628	-	1	-	1234405	1276748	12.945566	9.906585	14.990656
g21630	-	1	-	1326918	1338740	4.372396	3.345973	5.063130
g21631	-	1	-	1347875	1349544	0.773148	0.591651	0.895287
g21632	-	1	+	1349810	1357710	2.966009	2.269736	3.434567
g21633	-	1	-	1361058	1381745	49.807880	38.115444	57.676331
g21634	-	1	+	1385571	1392430	12.818035	9.808991	14.842978
g21635	-	1	-	1396451	1417415	72.086464	55.164112	83.474396
g21636	-	1	+	1417568	1425363	15.224518	11.650551	17.629627
g21637	-	1	-	1427003	1427857	36.077194	27.608047	41.776527
g21640	-	1	-	1455017	1461600	78.044296	59.723343	90.373428
g21641	-	1	+	1461790	1482365	5.504522	4.212331	6.374104
g21642	-	1	-	1485768	1490221	109.044235	83.446022	126.270607
g21643	-	1	+	1498213	1500580	650.117737	497.502106	752.820801
g21644	-	1	-	1501925	1515543	5.504000	4.211932	6.373500
g21645	-	1	+	1515644	1593061	0.845459	0.646987	0.979021
g21648	-	1	-	1600981	1603957	176.690781	135.212494	204.603699
g21649	-	1	+	1604161	1611958	592.458679	453.378571	686.052979
g21650	-	1	-	1624523	1637721	30.334936	23.213789	35.127129
g21651	-	1	-	1639760	1648770	2.418447	1.850715	2.800504
g21652	-	1	+	1664341	1667185	13.051546	9.987686	15.113378
g21653	-	1	+	1671954	1700430	0.000000	0.000000	0.000000
g21655	-	1	-	1709460	1721830	0.000000	0.000000	0.000000
g21656	-	1	+	1721906	1725879	6.106814	4.673235	7.071544
g21657	-	1	-	1726722	1735015	50.453163	38.609249	58.423557
g21658	-	1	+	1737732	1742672	594.770935	455.148010	688.730530
g21659	-	1	-	1749946	1765665	1.089509	0.833746	1.261625
g21660	-	1	+	1765998	1773941	10.237918	7.834559	11.855264
g21661	-	1	-	1775583	1779292	536.051086	410.212708	620.734314
g21662	-	1	+	1779355	1781634	845.117920	646.725891	978.626282
g21663	-	1	+	1788594	1809349	4.897690	3.747953	5.671408
g21664	-	1	+	1817015	1818862	0.000000	0.000000	0.000000
g21665	-	1	+	1821776	1822537	6.724410	5.145850	7.786706
g21666	-	1	-	1823732	1824430	28.981401	22.177996	33.559769
g21667	-	1	+	1824608	1835679	6.260010	4.790468	7.248942
adi2mcaRNA15974_R0	-	1	-	1838697	1847254	28.444916	21.767450	32.938530
g21669	-	1	+	1847388	1850319	117.561676	89.963989	136.133606
g21671	-	1	+	1856734	1862442	2.814070	2.153465	3.258626
g21672	-	1	+	1869053	1873028	16.859789	12.901941	19.523232
g21673	-	1	-	1874738	1876989	8.392307	6.422207	9.718091
g21674	-	1	+	1877095	1882171	14.147120	10.826074	16.382027
g21675	-	1	-	1883336	1889435	87.001617	66.577927	100.745789
adi2mcaRNA15965_R0	-	1	+	1892664	1901226	29.712393	22.737387	34.406239
g21677	-	1	-	1902335	1909826	25.436947	19.465605	29.455374
adi2mcaRNA15962_R0	-	1	+	1932948	1937713	1.723197	1.318675	1.995421
g21681	-	1	-	1938653	1940964	446.060791	341.347687	516.527710
g21683	-	1	+	1953301	1968254	4.695238	3.593028	5.436973
g21686	-	1	+	2007243	2036975	19.668097	15.050997	22.775185
g21690	-	1	+	2064873	2065865	33.094383	25.325453	38.322506
g21691	-	1	-	2071531	2083593	4.929348	3.772180	5.708067
g21692	-	1	+	2084265	2098448	24.756310	18.944748	28.667213
g21693	-	1	+	2103413	2104172	12.772988	9.774520	14.790814
adi2mcaRNA15941_R0	-	1	+	2136468	2169370	2.633648	2.015397	3.049701
g21696	-	1	-	2175815	2178349	49.856014	38.152279	57.732071
g21697	-	1	-	2183490	2184443	0.366876	0.280752	0.424834
g21698	-	1	-	2192681	2201442	4.297101	3.288353	4.975940
g21699	-	1	-	2206921	2207271	21.367521	16.351480	24.743078
g21700	-	1	-	2209757	2223543	65.018585	49.755424	75.289963
g21701	-	1	-	2230513	2232206	16.892721	12.927143	19.561367
g21702	-	1	+	2232380	2254937	63.486313	48.582855	73.515633
g21703	-	1	-	2256857	2267938	8.935409	6.837815	10.346990
g21704	-	1	+	2277230	2304315	6.228353	4.766243	7.212284
g21705	-	1	-	2311594	2345468	15.158878	11.600321	17.553617
g21706	-	1	+	2370843	2371787	41.739681	31.941261	48.333549
g21708	-	1	-	2398989	2401514	21.705883	16.610413	25.134893
g21709	-	1	+	2402222	2416695	3.179775	2.433321	3.682103
g21710	-	1	-	2423039	2426056	0.000000	0.000000	0.000000
g21713	-	1	-	2457801	2480051	3.683958	2.819146	4.265935
g21714	-	1	+	2483360	2488971	59.893940	45.833794	69.355751
g21716	-	1	-	2506259	2521776	93.153244	71.285454	107.869232
g21727	-	1	+	2680167	2723369	16.940498	12.963704	19.616692
g21728	-	1	+	2731650	2732693	0.000000	0.000000	0.000000
g21730	-	1	-	2748256	2760020	3.492386	2.672546	4.044099
g21732	-	1	-	2779907	2789826	4.656085	3.563066	5.391635
g21733	-	1	+	2802080	2810921	6.732143	5.151768	7.795660
g21739	-	1	+	2861041	2874369	0.777566	0.595032	0.900403
g21740	-	1	-	2881617	2888372	2.729934	2.089080	3.161198
g21743	-	1	+	2902908	2918764	22.885935	17.513445	26.501364
g21744	-	1	-	2920847	2924472	7.110128	5.441020	8.233358
g21745	-	1	-	2937235	2955005	36.983940	28.301933	42.826515
adi2mcaRNA331_R0	-	1	-	2991798	3049901	9.525660	7.289504	11.030486
g21750	-	1	-	3062915	3067597	23.315697	17.842321	26.999018
g21751	-	1	+	3068049	3089658	62.750931	48.020103	72.664078
g21752	-	1	-	3091241	3097303	14.811671	11.334620	17.151560
g21753	-	1	+	3098199	3120601	27.321850	20.908026	31.638048
g21754	-	1	+	3125992	3152597	635.256958	486.129944	735.612366
g21755	-	1	+	3165614	3172746	142.298950	108.894173	164.778763
g21756	-	1	+	3176728	3177291	0.000000	0.000000	0.000000
g21761	-	1	+	3194175	3199090	208.272720	159.380554	241.174820
g21763	-	1	-	3217532	3220768	10.166508	7.779912	11.772573
g21878	-	2	+	553648	598651	0.000000	0.000000	0.000000
g21879	-	2	-	607474	624823	30.859339	23.615088	35.734375
g21880	-	2	+	625616	647606	0.000000	0.000000	0.000000
g21885	-	2	+	728410	732054	0.000000	0.000000	0.000000
g21892	-	2	-	765502	766458	0.253571	0.194045	0.293629
g21894	-	2	+	781138	820334	9.537914	7.298882	11.044676
g21901	-	2	-	961956	987338	9.512713	7.279597	11.015493
g21902	-	2	-	990398	1006841	0.232606	0.178002	0.269352
g21903	-	2	+	1009003	1029567	749.941650	573.892273	868.414429
g21904	-	2	-	1041522	1062656	106.748940	81.689545	123.612709
g21905	-	2	+	1067970	1068872	3.292359	2.519475	3.812473
g21906	-	2	-	1071974	1129475	145.276306	111.172585	168.226486
g21907	-	2	-	1145506	1156476	13.672087	10.462554	15.831949
g21909	-	2	+	1177892	1219935	0.000000	0.000000	0.000000
g21910	-	2	-	1234675	1235748	17.288641	13.230120	20.019831
adi2mcaRNA30308_R0	-	2	-	1365735	1370798	0.000000	0.000000	0.000000
g21947	-	2	+	1677919	1693133	0.000000	0.000000	0.000000
g22043	-	2	+	2381002	2387851	0.000000	0.000000	0.000000
g22044	-	2	-	2388599	2389980	12.693425	9.713634	14.698682
adi2mcaRNA5137_R2	-	2	+	2432300	2433016	0.000000	0.000000	0.000000
g22055	-	2	-	2433275	2433961	1.093159	0.836539	1.265852
g22071	-	2	-	2494132	2496276	1.924192	1.472486	2.228168
adi2mcaRNA13580_R0	-	2	-	2784406	2799781	25.482725	19.500637	29.508387
g22197	-	2	+	3122679	3123422	0.131720	0.100799	0.152529
g22248	-	3	-	39993	42230	0.832309	0.636924	0.963794
g22250	-	3	+	55562	57264	0.000000	0.000000	0.000000
g22252	-	3	+	72739	103818	11.704524	8.956879	13.553558
g22253	-	3	-	105498	107241	381.122803	291.653961	441.331085
g22254	-	3	+	108354	114468	26.938980	20.615036	31.194695
g22257	-	3	+	140676	153160	0.000000	0.000000	0.000000
g22258	-	3	+	153185	202767	2.208125	1.689766	2.556956
g22259	-	3	-	215485	221741	0.000000	0.000000	0.000000
g22260	-	3	+	222203	225087	34.421051	26.340685	39.858753
adi2mcaRNA4380_R0	-	3	-	230132	254017	18.431534	14.104717	21.343275
g22264	-	3	+	273299	288416	31.534859	24.132027	36.516609
g22265	-	3	+	288805	292767	4.575020	3.501031	5.297764
g22266	-	3	-	293033	360001	30.510309	23.347992	35.330208
g22267	-	3	-	363434	374928	2.801659	2.143968	3.244254
g22269	-	3	+	402702	405516	16.006231	12.248756	18.534832
g22270	-	3	-	407601	408480	179.266083	137.183243	207.585831
g22271	-	3	+	409065	421159	0.627470	0.480171	0.726595
g22272	-	3	-	423585	431119	7.518981	5.753895	8.706800
g22273	-	3	+	433538	451455	1.738986	1.330758	2.013704
g22275	-	3	+	463107	464282	34.064625	26.067930	39.446018
g22276	-	3	+	466494	485984	8.888112	6.801621	10.292221
g22277	-	3	+	488690	499775	107.621544	82.357307	124.623169
g22278	-	3	+	502726	527931	75.119377	57.485050	86.986435
g22281	-	3	-	537718	538995	806.766663	617.377563	934.216492
g22283	-	3	-	546510	547058	3.291439	2.518771	3.811408
g22285	-	3	-	560929	561477	1.996357	1.527711	2.311733
g22288	-	3	-	640493	657587	52.459347	40.144478	60.746670
g22289	-	3	-	659016	662048	171.585632	131.305786	198.692047
adi2mcaRNA4360_R0	-	3	+	662247	692572	5.554657	4.250697	6.432160
adi2mcaRNA4352_R9	-	3	-	694822	699876	12.661505	9.689208	14.661719
g22292	-	4	+	150	1549	13.822222	10.577445	16.005802
g22293	-	4	+	3966	5045	0.984335	0.753262	1.139836
g22294	-	4	-	5852	6586	0.000000	0.000000	0.000000
g22295	-	4	+	9618	19952	5.594657	4.281307	6.478479
g22296	-	4	-	24805	79004	0.720041	0.551011	0.833790
g22297	-	4	+	81907	151576	8.582822	6.567998	9.938703
g22301	-	4	-	223874	307635	5.037154	3.854679	5.832904
g22302	-	4	+	317701	329284	0.362319	0.277264	0.419557
adi2mcaRNA23975_R0	-	4	-	355546	394427	8.721683	6.674261	10.099500
g22315	-	4	+	471405	519898	6.561439	5.021137	7.597989
g22316	-	4	+	526459	529793	3.343284	2.558446	3.871443
g22317	-	4	-	553046	574067	1.836520	1.405396	2.126646
g22318	-	4	+	581748	614954	2.335148	1.786970	2.704046
g22319	-	4	+	621279	625110	154.791107	118.453781	179.244385
g22325	-	4	-	732096	736329	47.645275	36.460510	55.172089
g22326	-	4	+	736760	741666	1.649652	1.262395	1.910257
g22327	-	4	-	743618	759498	0.000000	0.000000	0.000000
g22329	-	4	-	778251	779183	1.942122	1.486207	2.248931
g22330	-	4	-	784630	817728	15.701679	12.015698	18.182169
g22331	-	4	+	818147	834774	0.000000	0.000000	0.000000
g22333	-	4	-	853818	865690	7.938272	6.074757	9.192328
g22334	-	4	+	865818	866129	174.076920	133.212234	201.576889
g22335	-	4	-	867417	871776	4.320290	3.306099	5.002792
g22336	-	4	+	872020	886138	30.296078	23.184052	35.082134
g22343	-	4	+	973589	984814	3332.992432	2550.570068	3859.525635
g22346	-	4	+	1026576	1040653	1.733189	1.326322	2.006991
