Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.076815	0.053926	0.077021
g21534	-	1	+	37447	52266	1.584341	1.112251	1.588593
g21537	-	1	+	88347	97184	6.912946	4.853080	6.931499
g21535	-	1	-	58322	62557	16.800608	11.794493	16.845697
g21536	-	1	+	64466	84798	14.275202	10.021588	14.313514
g21538	-	1	-	100215	109729	89.075668	62.533596	89.314728
g21539	-	1	+	109867	128510	17.498487	12.284424	17.545450
g21540	-	1	-	132854	139285	0.818452	0.574576	0.820649
g21543	-	1	+	156444	157268	0.090909	0.063821	0.091153
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	1.224868	0.859891	1.228155
g21555	-	1	-	332282	348965	24.056482	16.888319	24.121044
g21556	-	1	+	349160	352265	15.090909	10.594237	15.131410
g21557	-	1	+	353765	356968	17.348766	12.179316	17.395327
g21558	-	1	-	361628	375371	0.119332	0.083774	0.119652
g21559	-	1	+	396421	397020	0.166667	0.117005	0.167114
g21560	-	1	+	401783	403405	0.385089	0.270343	0.386122
g21562	-	1	+	420478	420918	0.085261	0.059856	0.085490
g21563	-	1	-	428004	428435	0.000000	0.000000	0.000000
g21564	-	1	+	435136	440238	1.729951	1.214474	1.734594
g21565	-	1	-	440659	443082	4.100193	2.878449	4.111197
g21566	-	1	-	443144	443635	0.000000	0.000000	0.000000
g21567	-	1	-	459012	459386	0.000000	0.000000	0.000000
g21568	-	1	+	465135	465452	0.000000	0.000000	0.000000
adi2mcaRNA12716_R2	-	1	-	479697	491534	29.204927	20.502670	29.283308
g21573	-	1	-	524298	537113	33.706467	23.662876	33.796928
g21581	-	1	+	607804	608337	5.408240	3.796735	5.422754
g21582	-	1	+	618737	619072	0.000000	0.000000	0.000000
g21583	-	1	+	622962	633865	34.747044	24.393391	34.840298
g21587	-	1	+	648193	648896	10.415459	7.311941	10.443412
g21588	-	1	-	666567	668312	9.866552	6.926594	9.893031
adi2mcaRNA40589_R3	-	1	-	683868	685398	5.977353	4.196268	5.993395
g21590	-	1	-	702479	702886	1.872063	1.314240	1.877087
g21591	-	1	-	702941	704323	0.000000	0.000000	0.000000
g21592	-	1	-	707506	709230	6.804638	4.777045	6.822900
g21593	-	1	-	725115	725537	0.903073	0.633982	0.905497
g21595	-	1	-	743708	771725	14.319088	10.052398	14.357517
g21596	-	1	-	778826	781380	0.473919	0.332704	0.475191
g21601	-	1	-	820948	851855	0.000000	0.000000	0.000000
g21603	-	1	+	875739	924977	14.009200	9.834847	14.046798
adi2mcaRNA24085_R9	-	1	+	928080	933095	0.458842	0.322120	0.460073
g21605	-	1	+	934505	935482	1.620318	1.137508	1.624667
g21606	-	1	-	935674	936417	4.407690	3.094321	4.419519
g21607	-	1	-	938963	941032	0.061836	0.043411	0.062002
g21608	-	1	+	945184	946113	2.875269	2.018519	2.882986
g21609	-	1	-	952903	989352	52.144115	36.606617	52.284058
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.000000	0.000000	0.000000
g21612	-	1	-	1026881	1027414	0.303371	0.212975	0.304185
adi2mcaRNA24914_R2	-	1	+	1033570	1040048	0.067901	0.047668	0.068083
g21614	-	1	+	1045444	1046427	39.613823	27.810003	39.720139
g21615	-	1	+	1064077	1065057	0.314985	0.221128	0.315830
adi2mcaRNA37268_R9	-	1	-	1093244	1096926	0.048385	0.033968	0.048515
g21619	-	1	-	1101300	1101608	3.915858	2.749041	3.926367
g21620	-	1	+	1121855	1134134	0.208822	0.146599	0.209382
g21621	-	1	+	1141502	1142461	33.125004	23.254673	33.213905
g21622	-	1	-	1166624	1169197	15.581081	10.938353	15.622897
g21623	-	1	-	1169258	1175136	0.864198	0.606691	0.866517
g21628	-	1	-	1234405	1276748	19.312912	13.558201	19.364744
g21629	-	1	+	1296441	1298102	4.725632	3.317525	4.738315
g21630	-	1	-	1326918	1338740	14.419593	10.122955	14.458292
g21631	-	1	-	1347875	1349544	1.258335	0.883386	1.261712
g21632	-	1	+	1349810	1357710	16.600201	11.653802	16.644753
g21633	-	1	-	1361058	1381745	1.808722	1.269773	1.813576
g21634	-	1	+	1385571	1392430	23.017714	16.159075	23.079489
g21635	-	1	-	1396451	1417415	342.723389	240.601349	343.643188
g21636	-	1	+	1417568	1425363	35.931091	25.224625	36.027523
g21637	-	1	-	1427003	1427857	7.423392	5.211427	7.443315
g21640	-	1	-	1455017	1461600	63.236488	44.393772	63.406200
g21641	-	1	+	1461790	1482365	16.633076	11.676882	16.677715
g21642	-	1	-	1485768	1490221	106.218407	74.568275	106.503471
g21643	-	1	+	1498213	1500580	40.498188	28.430853	40.606876
g21644	-	1	-	1501925	1515543	30.967777	21.740240	31.050888
g21645	-	1	+	1515644	1593061	22.353191	15.692561	22.413183
g21648	-	1	-	1600981	1603957	118.670731	83.310150	118.989212
g21649	-	1	+	1604161	1611958	323.732208	227.269012	324.601044
g21650	-	1	-	1624523	1637721	58.636021	41.164116	58.793385
g21651	-	1	-	1639760	1648770	15.246925	10.703766	15.287845
g21652	-	1	+	1664341	1667185	57.158936	40.127159	57.312336
g21653	-	1	+	1671954	1700430	11.600237	8.143688	11.631370
g21654	-	1	+	1701166	1707078	0.392924	0.275844	0.393979
g21655	-	1	-	1709460	1721830	8.304676	5.830113	8.326963
g21656	-	1	+	1721906	1725879	34.582874	24.278139	34.675690
g21657	-	1	-	1726722	1735015	47.183250	33.123951	47.309879
g21658	-	1	+	1737732	1742672	118.151512	82.945648	118.468605
g21659	-	1	-	1749946	1765665	21.318296	14.966036	21.375509
g21660	-	1	+	1765998	1773941	15.620198	10.965814	15.662119
g21661	-	1	-	1775583	1779292	204.788971	143.767548	205.338577
g21662	-	1	+	1779355	1781634	235.548737	165.361755	236.180893
g21663	-	1	+	1788594	1809349	21.809654	15.310983	21.868187
g21664	-	1	+	1817015	1818862	22.809361	16.012804	22.870575
g21665	-	1	+	1821776	1822537	16.427822	11.532787	16.471910
g21666	-	1	-	1823732	1824430	35.560802	24.964672	35.656242
g21667	-	1	+	1824608	1835679	36.558762	25.665266	36.656876
adi2mcaRNA15974_R0	-	1	-	1838697	1847254	23.991526	16.842718	24.055914
g21669	-	1	+	1847388	1850319	20.371391	14.301282	20.426064
g21670	-	1	-	1851564	1852055	0.000000	0.000000	0.000000
g21671	-	1	+	1856734	1862442	1.695142	1.190037	1.699691
g21672	-	1	+	1869053	1873028	4.937831	3.466495	4.951083
g21673	-	1	-	1874738	1876989	34.628204	24.309961	34.721138
g21674	-	1	+	1877095	1882171	6.859054	4.815247	6.877462
g21675	-	1	-	1883336	1889435	10.470874	7.350844	10.498976
adi2mcaRNA15965_R0	-	1	+	1892664	1901226	22.321795	15.670521	22.381701
g21677	-	1	-	1902335	1909826	21.186747	14.873685	21.243607
g21678	-	1	-	1924608	1926509	0.127234	0.089322	0.127575
adi2mcaRNA15962_R0	-	1	+	1932948	1937713	23.195419	16.283829	23.257671
g21681	-	1	-	1938653	1940964	103.224319	72.466339	103.501350
g21683	-	1	+	1953301	1968254	36.583809	25.682850	36.681992
g21684	-	1	+	1970772	1974318	3.921325	2.752879	3.931849
g21685	-	1	+	1984567	2003518	10.594318	7.437506	10.622750
g21686	-	1	+	2007243	2036975	19.041368	13.367570	19.092470
g21687	-	1	+	2041709	2042566	0.509324	0.357560	0.510691
g21688	-	1	+	2049578	2050600	0.386119	0.271066	0.387155
g21689	-	1	-	2059983	2060780	11.595238	8.140179	11.626357
g21690	-	1	+	2064873	2065865	55.696537	39.100517	55.846012
g21691	-	1	-	2071531	2083593	6.474638	4.545376	6.492014
g21692	-	1	+	2084265	2098448	37.783291	26.524920	37.884693
g21693	-	1	+	2103413	2104172	287.843384	202.074051	288.615906
adi2mcaRNA15941_R0	-	1	+	2136468	2169370	66.749741	46.860172	66.928879
g21696	-	1	-	2175815	2178349	69.287178	48.641521	69.473129
g21697	-	1	-	2183490	2184443	221.117401	155.230560	221.710831
g21698	-	1	-	2192681	2201442	15.505797	10.885501	15.547411
g21699	-	1	-	2206921	2207271	69.746437	48.963936	69.933624
g21700	-	1	-	2209757	2223543	55.611206	39.040611	55.760456
g21701	-	1	-	2230513	2232206	58.823753	41.295910	58.981621
g21702	-	1	+	2232380	2254937	19.953789	14.008114	20.007339
g21703	-	1	-	2256857	2267938	12.654118	8.883542	12.688079
g21704	-	1	+	2277230	2304315	27.791525	19.510424	27.866110
g21705	-	1	-	2311594	2345468	72.772278	51.088161	72.967583
g21706	-	1	+	2370843	2371787	20.697355	14.530119	20.752903
g21708	-	1	-	2398989	2401514	32.823528	23.043028	32.911617
g21709	-	1	+	2402222	2416695	3.405431	2.390707	3.414570
g21710	-	1	-	2423039	2426056	103.085548	72.368919	103.362213
g21711	-	1	+	2445106	2445447	0.295322	0.207324	0.296115
g21713	-	1	-	2457801	2480051	14.209894	9.975740	14.248030
g21714	-	1	+	2483360	2488971	21.432766	15.046397	21.490286
g21715	-	1	-	2492735	2501708	0.061149	0.042928	0.061313
g21716	-	1	-	2506259	2521776	16.804268	11.797063	16.849367
g21721	-	1	+	2548946	2617412	14.212952	9.977887	14.251097
g21723	-	1	+	2619255	2625409	34.491829	24.214224	34.584396
adi2mcaRNA38266_R0	-	1	+	2645879	2655436	3.110132	2.183399	3.118479
g21727	-	1	+	2680167	2723369	33.578167	23.572805	33.668285
g21728	-	1	+	2731650	2732693	0.623081	0.437420	0.624753
g21729	-	1	+	2741282	2742325	0.320880	0.225267	0.321741
g21730	-	1	-	2748256	2760020	48.149746	33.802460	48.278965
g21731	-	1	+	2762550	2764304	1.161477	0.815389	1.164594
g21732	-	1	-	2779907	2789826	75.154320	52.760418	75.356018
g21733	-	1	+	2802080	2810921	46.526043	32.662575	46.650909
g21734	-	1	-	2817403	2818158	0.000000	0.000000	0.000000
g21735	-	1	-	2818538	2818840	0.000000	0.000000	0.000000
g21736	-	1	+	2818940	2819770	0.661333	0.464274	0.663108
g21737	-	1	-	2820556	2823439	43.359406	30.439507	43.475769
g21738	-	1	+	2842437	2846764	0.823383	0.578038	0.825593
g21739	-	1	+	2861041	2874369	11.582459	8.131208	11.613544
