Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21534	-	1	+	37447	52266	0.463731	0.405132	0.663426
g21535	-	1	-	58322	62557	5.423077	4.737798	7.758398
g21536	-	1	+	64466	84798	366.513306	320.199371	524.343628
g21537	-	1	+	88347	97184	1.680804	1.468412	2.404603
g21538	-	1	-	100215	109729	18.932516	16.540136	27.085358
g21539	-	1	+	109867	128510	96.243492	84.081825	137.688492
g21540	-	1	-	132854	139285	11.851191	10.353632	16.954628
g21555	-	1	-	332282	348965	0.000000	0.000000	0.000000
g21556	-	1	+	349160	352265	0.000000	0.000000	0.000000
g21558	-	1	-	361628	375371	5.101034	4.456449	7.297674
g21559	-	1	+	396421	397020	0.000000	0.000000	0.000000
g21560	-	1	+	401783	403405	0.000000	0.000000	0.000000
g21562	-	1	+	420478	420918	0.000000	0.000000	0.000000
g21563	-	1	-	428004	428435	0.000000	0.000000	0.000000
g21564	-	1	+	435136	440238	0.000000	0.000000	0.000000
g21565	-	1	-	440659	443082	0.000000	0.000000	0.000000
g21566	-	1	-	443144	443635	0.000000	0.000000	0.000000
g21567	-	1	-	459012	459386	0.000000	0.000000	0.000000
g21568	-	1	+	465135	465452	0.000000	0.000000	0.000000
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.291667	0.254811	0.417267
g21573	-	1	-	524298	537113	2.368628	2.069320	3.388622
g21581	-	1	+	607804	608337	1.428839	1.248286	2.044135
g21588	-	1	-	666567	668312	0.156930	0.137100	0.224508
g21595	-	1	-	743708	771725	16.811152	14.686834	24.050478
g21603	-	1	+	875739	924977	8.827507	7.712032	12.628865
g21605	-	1	+	934505	935482	0.447033	0.390544	0.639537
g21607	-	1	-	938963	941032	0.119324	0.104246	0.170708
g21609	-	1	-	952903	989352	31.178352	27.238546	44.604576
g21623	-	1	-	1169258	1175136	0.333333	0.291212	0.476875
g21628	-	1	-	1234405	1276748	14.669948	12.816201	20.987215
g21630	-	1	-	1326918	1338740	15.051758	13.149764	21.533443
g21631	-	1	-	1347875	1349544	0.000000	0.000000	0.000000
g21632	-	1	+	1349810	1357710	2.567434	2.243004	3.673039
g21633	-	1	-	1361058	1381745	20.486656	17.897890	29.308752
g21634	-	1	+	1385571	1392430	4.840580	4.228907	6.925062
g21635	-	1	-	1396451	1417415	66.298119	57.920452	94.847847
g21636	-	1	+	1417568	1425363	20.421488	17.840958	29.215521
g21637	-	1	-	1427003	1427857	17.058479	14.902909	24.404312
g21640	-	1	-	1455017	1461600	33.959461	29.668222	48.583302
g21641	-	1	+	1461790	1482365	4.898579	4.279577	7.008037
g21642	-	1	-	1485768	1490221	82.763031	72.304802	118.402985
g21643	-	1	+	1498213	1500580	244.729172	213.804321	350.116028
g21644	-	1	-	1501925	1515543	4.873333	4.257521	6.971919
g21645	-	1	+	1515644	1593061	0.217149	0.189709	0.310659
g21648	-	1	-	1600981	1603957	121.295731	105.968376	173.528885
