Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.087743	0.065109	0.098805
g21534	-	1	+	37447	52266	0.000000	0.000000	0.000000
g21535	-	1	-	58322	62557	113.051956	83.888832	127.304634
g21536	-	1	+	64466	84798	115.761421	85.899361	130.355682
g21537	-	1	+	88347	97184	8.575892	6.363637	9.657071
g21538	-	1	-	100215	109729	26.971371	20.013779	30.371702
g21539	-	1	+	109867	128510	69.908768	51.874950	78.722298
g21540	-	1	-	132854	139285	46.538319	34.533192	52.405495
g21543	-	1	+	156444	157268	0.532727	0.395304	0.599889
g21546	-	1	+	183017	185772	0.000000	0.000000	0.000000
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	1.939153	1.438925	2.183626
g21555	-	1	-	332282	348965	6.048611	4.488298	6.811171
g21556	-	1	+	349160	352265	18.932659	14.048749	21.319536
g21557	-	1	+	353765	356968	24.651234	18.292149	27.759062
g21558	-	1	-	361628	375371	2.092283	1.552553	2.356061
g21559	-	1	+	396421	397020	1.195833	0.887353	1.346594
g21562	-	1	+	420478	420918	0.039002	0.028941	0.043919
g21565	-	1	-	440659	443082	0.000000	0.000000	0.000000
adi2mcaRNA12716_R2	-	1	-	479697	491534	1.293670	0.959952	1.456765
g21573	-	1	-	524298	537113	0.827451	0.614000	0.931769
g21581	-	1	+	607804	608337	0.940075	0.697571	1.058592
g21588	-	1	-	666567	668312	0.152348	0.113048	0.171555
adi2mcaRNA40589_R3	-	1	-	683868	685398	0.234961	0.174350	0.264583
g21592	-	1	-	707506	709230	0.323478	0.240033	0.364259
g21595	-	1	-	743708	771725	23.765364	17.634798	26.761509
g21596	-	1	-	778826	781380	0.239822	0.177957	0.270057
g21601	-	1	-	820948	851855	0.017504	0.012989	0.019711
g21603	-	1	+	875739	924977	8.291074	6.152291	9.336346
adi2mcaRNA24085_R9	-	1	+	928080	933095	0.075319	0.055890	0.084815
g21605	-	1	+	934505	935482	0.602932	0.447398	0.678945
g21606	-	1	-	935674	936417	4.608427	3.419627	5.189420
g21609	-	1	-	952903	989352	6.642251	4.928802	7.479652
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.189274	0.140448	0.213136
adi2mcaRNA37268_R9	-	1	-	1093244	1096926	0.000000	0.000000	0.000000
g21620	-	1	+	1121855	1134134	0.283984	0.210727	0.319786
g21622	-	1	-	1166624	1169197	0.404505	0.300158	0.455502
g21623	-	1	-	1169258	1175136	1.517284	1.125882	1.708571
g21628	-	1	-	1234405	1276748	6.699815	4.971516	7.544474
g21630	-	1	-	1326918	1338740	23.321939	17.305763	26.262182
g21631	-	1	-	1347875	1349544	7.429211	5.512756	8.365826
g21632	-	1	+	1349810	1357710	1.518457	1.126753	1.709892
g21633	-	1	-	1361058	1381745	16.408325	12.175598	18.476954
g21634	-	1	+	1385571	1392430	7.085346	5.257595	7.978609
g21635	-	1	-	1396451	1417415	110.271912	81.825935	124.174103
g21636	-	1	+	1417568	1425363	28.785124	21.359652	32.414120
g21637	-	1	-	1427003	1427857	4.412866	3.274514	4.969204
g21638	-	1	-	1431855	1441370	2.428191	1.801810	2.734318
g21640	-	1	-	1455017	1461600	9.731232	7.220942	10.958067
g21641	-	1	+	1461790	1482365	6.905039	5.123800	7.775570
g21642	-	1	-	1485768	1490221	38.465244	28.542667	43.314632
g21643	-	1	+	1498213	1500580	50.310688	37.332436	56.653454
g21644	-	1	-	1501925	1515543	4.644000	3.446024	5.229478
g21645	-	1	+	1515644	1593061	3.019055	2.240253	3.399673
g21648	-	1	-	1600981	1603957	78.956207	58.588497	88.910370
g21649	-	1	+	1604161	1611958	255.287750	189.433182	287.472351
g21650	-	1	-	1624523	1637721	168.513977	125.043755	189.758865
g21651	-	1	-	1639760	1648770	16.335114	12.121272	18.394514
g21652	-	1	+	1664341	1667185	18.689863	13.868587	21.046131
g21653	-	1	+	1671954	1700430	40.379005	29.962751	45.469662
g21655	-	1	-	1709460	1721830	0.000000	0.000000	0.000000
g21656	-	1	+	1721906	1725879	80.077095	59.420235	90.172569
g21657	-	1	-	1726722	1735015	105.455139	78.251709	118.750069
