Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21534	-	1	+	37447	52266	0.310305	0.227921	0.330781
g21535	-	1	-	58322	62557	57.302631	42.089073	61.083855
g21536	-	1	+	64466	84798	130.255630	95.673424	138.850800
g21537	-	1	+	88347	97184	26.457218	19.432961	28.203047
g21538	-	1	-	100215	109729	42.580776	31.275795	45.390549
g21539	-	1	+	109867	128510	60.867817	44.707722	64.884293
g21540	-	1	-	132854	139285	31.055803	22.810644	33.105080
g21543	-	1	+	156444	157268	0.312727	0.229700	0.333363
g21546	-	1	+	183017	185772	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	43.681217	32.084076	46.563602
g21555	-	1	-	332282	348965	32.658401	23.987761	34.813427
g21556	-	1	+	349160	352265	23.013468	16.903509	24.532055
g21557	-	1	+	353765	356968	20.274694	14.891866	21.612558
g21558	-	1	-	361628	375371	0.000000	0.000000	0.000000
g21559	-	1	+	396421	397020	1.253332	0.920579	1.336035
g21560	-	1	+	401783	403405	0.000000	0.000000	0.000000
g21562	-	1	+	420478	420918	0.305669	0.224515	0.325839
g21563	-	1	-	428004	428435	0.020062	0.014736	0.021386
g21564	-	1	+	435136	440238	0.000000	0.000000	0.000000
g21565	-	1	-	440659	443082	0.000000	0.000000	0.000000
g21566	-	1	-	443144	443635	0.282520	0.207512	0.301163
g21567	-	1	-	459012	459386	0.000000	0.000000	0.000000
g21568	-	1	+	465135	465452	0.000000	0.000000	0.000000
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.000000	0.000000	0.000000
g21573	-	1	-	524298	537113	0.000000	0.000000	0.000000
g21581	-	1	+	607804	608337	2.114232	1.552914	2.253744
adi2mcaRNA40589_R3	-	1	-	683868	685398	0.000000	0.000000	0.000000
g21590	-	1	-	702479	702886	0.405392	0.297762	0.432143
g21591	-	1	-	702941	704323	0.000000	0.000000	0.000000
g21592	-	1	-	707506	709230	0.285217	0.209493	0.304038
g21595	-	1	-	743708	771725	23.190207	17.033323	24.720455
g21596	-	1	-	778826	781380	0.603053	0.442945	0.642847
g21597	-	1	-	784627	785798	0.000000	0.000000	0.000000
g21598	-	1	-	785899	786207	0.000000	0.000000	0.000000
g21600	-	1	-	789380	790334	0.000000	0.000000	0.000000
g21601	-	1	-	820948	851855	0.065956	0.048445	0.070308
g21603	-	1	+	875739	924977	5.178309	3.803494	5.520010
adi2mcaRNA24085_R9	-	1	+	928080	933095	0.083851	0.061589	0.089384
g21605	-	1	+	934505	935482	0.601745	0.441985	0.641452
g21606	-	1	-	935674	936417	7.676702	5.638577	8.183264
g21609	-	1	-	952903	989352	6.348593	4.663074	6.767517
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.966720	0.710061	1.030511
adi2mcaRNA24914_R2	-	1	+	1033570	1040048	0.000000	0.000000	0.000000
g21614	-	1	+	1045444	1046427	6.400406	4.701131	6.822749
g21619	-	1	-	1101300	1101608	0.365696	0.268606	0.389827
g21620	-	1	+	1121855	1134134	0.601107	0.441516	0.640772
g21621	-	1	+	1141502	1142461	0.112500	0.082632	0.119924
g21623	-	1	-	1169258	1175136	0.576543	0.423474	0.614587
g21628	-	1	-	1234405	1276748	9.560828	7.022477	10.191717
g21630	-	1	-	1326918	1338740	16.937887	12.440964	18.055567
g21631	-	1	-	1347875	1349544	5.456483	4.007814	5.816539
g21632	-	1	+	1349810	1357710	1.787051	1.312598	1.904973
g21633	-	1	-	1361058	1381745	21.408821	15.724888	22.821524
g21634	-	1	+	1385571	1392430	18.217392	13.380767	19.419500
g21635	-	1	-	1396451	1417415	140.996475	103.562630	150.300400
g21636	-	1	+	1417568	1425363	5.619835	4.127797	5.990670
g21637	-	1	-	1427003	1427857	15.374269	11.292478	16.388769
g21638	-	1	-	1431855	1441370	2.293440	1.684543	2.444777
g21639	-	1	-	1442699	1443019	0.289720	0.212801	0.308838
g21640	-	1	-	1455017	1461600	14.340841	10.533421	15.287148
