Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21534	-	1	+	37447	52266	0.000000	0.000000	0.000000
g21535	-	1	-	58322	62557	9.315789	3.427329	5.546299
g21536	-	1	+	64466	84798	398.391388	146.570328	237.188446
g21537	-	1	+	88347	97184	2.108631	0.775777	1.255406
g21538	-	1	-	100215	109729	33.478527	12.316930	19.931957
g21539	-	1	+	109867	128510	193.817200	71.306389	115.392059
g21540	-	1	-	132854	139285	31.731400	11.674151	18.891777
g21555	-	1	-	332282	348965	4.286111	1.576883	2.551802
g21556	-	1	+	349160	352265	0.000000	0.000000	0.000000
g21558	-	1	-	361628	375371	13.251790	4.875404	7.889657
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.416667	0.153294	0.248069
g21573	-	1	-	524298	537113	6.854118	2.521667	4.080705
g21581	-	1	+	607804	608337	1.213483	0.446447	0.722466
g21582	-	1	+	618737	619072	2.428571	0.893484	1.445887
g21588	-	1	-	666567	668312	1.159794	0.426694	0.690501
g21595	-	1	-	743708	771725	34.408627	12.659119	20.485706
g21596	-	1	-	778826	781380	0.000000	0.000000	0.000000
g21603	-	1	+	875739	924977	11.137128	4.097409	6.630661
g21605	-	1	+	934505	935482	0.413396	0.152091	0.246122
g21609	-	1	-	952903	989352	97.411842	35.838341	57.995640
g21628	-	1	-	1234405	1276748	53.276375	19.600664	31.718910
g21630	-	1	-	1326918	1338740	59.128876	21.753832	35.203289
g21631	-	1	-	1347875	1349544	0.000000	0.000000	0.000000
g21632	-	1	+	1349810	1357710	1.590351	0.585099	0.946840
g21633	-	1	-	1361058	1381745	54.704823	20.126198	32.569359
g21634	-	1	+	1385571	1392430	12.748793	4.690349	7.590190
g21635	-	1	-	1396451	1417415	150.385757	55.327724	89.534477
g21636	-	1	+	1417568	1425363	41.752068	15.360810	24.857737
g21637	-	1	-	1427003	1427857	34.457310	12.677029	20.514688
g21640	-	1	-	1455017	1461600	74.251503	27.317526	44.206776
g21641	-	1	+	1461790	1482365	9.072997	3.338004	5.401749
