Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.093676	0.043185	0.059900
g21534	-	1	+	37447	52266	0.200345	0.092359	0.128109
g21535	-	1	-	58322	62557	25.354252	11.688296	16.212521
g21536	-	1	+	64466	84798	32.429230	14.949858	20.736544
g21537	-	1	+	88347	97184	98.184525	45.263016	62.783104
g21538	-	1	-	100215	109729	75.973412	35.023701	48.580429
g21539	-	1	+	109867	128510	17.258501	7.956159	11.035775
g21540	-	1	-	132854	139285	16.808781	7.748839	10.748204
g21543	-	1	+	156444	157268	0.167273	0.077113	0.106961
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.000000	0.000000	0.000000
g21553	-	1	-	307772	308143	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	442.107147	203.811142	282.700958
g21555	-	1	-	332282	348965	47.540741	21.916256	30.399446
g21556	-	1	+	349160	352265	28.097643	12.952998	17.966753
g21557	-	1	+	353765	356968	22.408949	10.330514	14.329176
g21559	-	1	+	396421	397020	4.345554	2.003298	2.778721
g21560	-	1	+	401783	403405	0.445471	0.205362	0.284852
g21562	-	1	+	420478	420918	0.088435	0.040768	0.056549
g21563	-	1	-	428004	428435	0.173611	0.080035	0.111014
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.365785	0.168627	0.233898
g21574	-	1	+	560828	565350	0.000000	0.000000	0.000000
g21581	-	1	+	607804	608337	9.271536	4.274173	5.928590
g21583	-	1	+	622962	633865	106.086029	48.905602	67.835640
g21587	-	1	+	648193	648896	0.000000	0.000000	0.000000
adi2mcaRNA40589_R3	-	1	-	683868	685398	0.000000	0.000000	0.000000
g21590	-	1	-	702479	702886	0.133333	0.061466	0.085258
g21591	-	1	-	702941	704323	0.000000	0.000000	0.000000
g21592	-	1	-	707506	709230	0.604638	0.278738	0.386630
g21595	-	1	-	743708	771725	26.126577	12.044338	16.706377
g21596	-	1	-	778826	781380	0.826336	0.380940	0.528392
g21601	-	1	-	820948	851855	0.014967	0.006900	0.009570
g21603	-	1	+	875739	924977	22.239111	10.252218	14.220574
adi2mcaRNA24085_R9	-	1	+	928080	933095	1.220060	0.562447	0.780155
g21605	-	1	+	934505	935482	0.883564	0.407322	0.564986
g21606	-	1	-	935674	936417	7.394758	3.408979	4.728503
g21607	-	1	-	938963	941032	9.135750	4.211576	5.841763
g21608	-	1	+	945184	946113	30.882795	14.236952	19.747692
g21609	-	1	-	952903	989352	25.843769	11.913963	16.525537
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.534318	0.246320	0.341664
adi2mcaRNA37268_R9	-	1	-	1093244	1096926	0.174356	0.080378	0.111490
g21619	-	1	-	1101300	1101608	1.074434	0.495314	0.687036
g21620	-	1	+	1121855	1134134	1.043172	0.480902	0.667046
g21621	-	1	+	1141502	1142461	10.462500	4.823207	6.690140
g21622	-	1	-	1166624	1169197	1.623423	0.748397	1.038081
g21623	-	1	-	1169258	1175136	0.000000	0.000000	0.000000
g21628	-	1	-	1234405	1276748	19.681221	9.073032	12.584959
g21629	-	1	+	1296441	1298102	0.992178	0.457394	0.634438
g21630	-	1	-	1326918	1338740	21.051973	9.704948	13.461473
g21631	-	1	-	1347875	1349544	3.851206	1.775404	2.462615
g21632	-	1	+	1349810	1357710	11.627185	5.360126	7.434886
g21633	-	1	-	1361058	1381745	8.826561	4.069040	5.644055
