Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.103669	0.050213	0.076497
g21534	-	1	+	37447	52266	0.755325	0.365850	0.557352
g21535	-	1	-	58322	62557	30.353239	14.701922	22.397579
g21536	-	1	+	64466	84798	33.259071	16.109394	24.541784
g21537	-	1	+	88347	97184	64.687904	31.332291	47.733040
g21538	-	1	-	100215	109729	63.225971	30.624187	46.654285
g21539	-	1	+	109867	128510	26.893276	13.026052	19.844481
g21540	-	1	-	132854	139285	20.007812	9.691003	14.763714
g21543	-	1	+	156444	157268	0.448485	0.217229	0.330936
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.000000	0.000000	0.000000
g21554	-	1	-	323002	331686	454.460327	220.122818	335.345123
g21555	-	1	-	332282	348965	42.806480	20.733786	31.586794
g21556	-	1	+	349160	352265	35.656567	17.270645	26.310892
g21557	-	1	+	353765	356968	26.947531	13.052330	19.884514
g21559	-	1	+	396421	397020	1.510834	0.731789	1.114841
g21560	-	1	+	401783	403405	0.276032	0.133699	0.203683
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.266827	0.129241	0.196891
g21573	-	1	-	524298	537113	0.087059	0.042168	0.064241
g21574	-	1	+	560828	565350	0.000000	0.000000	0.000000
g21580	-	1	+	601281	601955	0.110617	0.053579	0.081624
g21581	-	1	+	607804	608337	7.353932	3.561957	5.426448
g21583	-	1	+	622962	633865	43.685577	21.159586	32.235477
g21587	-	1	+	648193	648896	0.449275	0.217611	0.331519
g21588	-	1	-	666567	668312	0.056701	0.027464	0.041840
adi2mcaRNA40589_R3	-	1	-	683868	685398	0.000000	0.000000	0.000000
g21590	-	1	-	702479	702886	0.585785	0.283731	0.432249
g21591	-	1	-	702941	704323	0.000000	0.000000	0.000000
g21592	-	1	-	707506	709230	0.029565	0.014320	0.021816
g21595	-	1	-	743708	771725	31.251934	15.137215	23.060722
g21596	-	1	-	778826	781380	0.657761	0.318594	0.485360
g21597	-	1	-	784627	785798	0.000000	0.000000	0.000000
g21598	-	1	-	785899	786207	0.000000	0.000000	0.000000
g21600	-	1	-	789380	790334	0.000000	0.000000	0.000000
g21601	-	1	-	820948	851855	0.048833	0.023653	0.036034
g21603	-	1	+	875739	924977	25.065836	12.140911	18.496017
adi2mcaRNA24085_R9	-	1	+	928080	933095	1.248253	0.604605	0.921083
g21605	-	1	+	934505	935482	0.414790	0.200908	0.306073
g21606	-	1	-	935674	936417	4.623957	2.239664	3.412006
g21607	-	1	-	938963	941032	9.492754	4.597919	7.004679
g21608	-	1	+	945184	946113	29.112904	14.101152	21.482338
g21609	-	1	-	952903	989352	35.326153	17.110607	26.067078
