"","moduleCluster","moduleColor","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"914",1,"grey","GO:0005739",0.0442374489606899,0.999059075169611,1,51,"mitochondrion","CC"
"915",1,"grey","GO:0007224",0.00229485161486344,0.999998303345744,1,3,"smoothened signaling pathway","BP"
"916",1,"grey","GO:0005758",0.00273972112516352,0.999997581278627,1,3,"mitochondrial intermembrane space","CC"
"917",1,"grey","GO:0042162",0.00351309878787135,0.999995524750674,1,4,"telomeric DNA binding","MF"
"918",1,"grey","GO:0043564",0.00351309878787135,0.999995524750674,1,4,"Ku70:Ku80 complex","CC"
"919",1,"grey","GO:0036128",0.00353844788995106,0.999995459884755,1,4,"CatSper complex","CC"
"920",1,"grey","GO:0006303",0.00648086874646717,0.999982213699312,1,8,"double-strand break repair via nonhomologous end joining","BP"
"921",1,"grey","GO:0006891",0.00855074727023045,0.999968130136868,1,10,"intra-Golgi vesicle-mediated transport","BP"
"922",1,"grey","GO:0015031",0.016174846039355,0.999879640610851,1,19,"protein transport","BP"
"923",1,"grey","GO:0004197",0.0162774510171177,0.99987810417984,1,19,"cysteine-type endopeptidase activity","MF"
"924",1,"grey","GO:0000723",0.0165087481408078,0.999874604723455,1,19,"telomere maintenance","BP"
"925",1,"grey","GO:0017119",2.01677794027514e-05,0.999999967500404,2,8,"Golgi transport complex","CC"
"926",1,"grey","GO:0006810",0.00182355023264355,0.999999196599379,1,2,"transport","BP"
"927",1,"grey","GO:0072321",0.00182763445724032,0.999999192994872,1,2,"chaperone-mediated protein transport","BP"
"928",1,"grey","GO:0000139",0.0261789698889172,0.999677160779098,1,30,"Golgi membrane","CC"
"929",1,"grey","GO:0003684",0.0175123704964225,0.999858453027795,1,20,"damaged DNA binding","MF"
"930",1,"grey","GO:0005743",0.0203600116015308,0.999807171344541,1,23,"mitochondrial inner membrane","CC"
"465",2,"coral1","GO:0034584",0.00857959644793281,1,1,1,"piRNA binding","MF"
"466",2,"coral1","GO:0032786",0.00857959644793281,1,1,1,"positive regulation of DNA-templated transcription, elongation","BP"
"467",2,"coral1","GO:0008121",0.0158572676707749,0.999915978529392,1,3,"ubiquinol-cytochrome-c reductase activity","MF"
"468",2,"coral1","GO:0010165",0.00857959644793281,1,1,1,"response to X-ray","BP"
"469",2,"coral1","GO:0016428",0.00857959644793281,1,1,1,"tRNA (cytosine-5-)-methyltransferase activity","MF"
"470",2,"coral1","GO:0006401",0.0146001103724276,0.999946566080465,1,2,"RNA catabolic process","BP"
"471",2,"coral1","GO:0000725",0.0169601382346853,0.999927808748701,1,2,"recombinational repair","BP"
"472",2,"coral1","GO:0001932",0.0158922334383094,0.999936648080102,1,2,"regulation of protein phosphorylation","BP"
"473",2,"coral1","GO:0080009",0.0164269528506209,0.999932294801068,1,2,"mRNA methylation","BP"
"474",2,"coral1","GO:0005938",0.0169465518086659,0.999927924862549,1,2,"cell cortex","CC"
"475",2,"coral1","GO:0004751",0.017085922341026,0.999926729282078,1,2,"ribose-5-phosphate isomerase activity","MF"
"476",2,"coral1","GO:0009052",0.017085922341026,0.999926729282078,1,2,"pentose-phosphate shunt, non-oxidative branch","BP"
"477",2,"coral1","GO:0030705",0.017085922341026,0.999926729282078,1,2,"cytoskeleton-dependent intracellular transport","BP"
"478",2,"coral1","GO:0031124",0.017085922341026,0.999926729282078,1,2,"mRNA 3'-end processing","BP"
"479",2,"coral1","GO:0005952",0.0195121584294203,0.999872572800581,1,3,"cAMP-dependent protein kinase complex","CC"
"480",2,"coral1","GO:0008603",0.0195121584294203,0.999872572800581,1,3,"cAMP-dependent protein kinase regulator activity","MF"
"481",2,"coral1","GO:0042773",0.0200944114340399,0.999864818692004,1,3,"ATP synthesis coupled electron transport","BP"
"482",2,"coral1","GO:0003979",0.021909854936274,0.999839156855676,1,3,"UDP-glucose 6-dehydrogenase activity","MF"
"483",2,"coral1","GO:0001534",0.0246894691413612,0.99979549905116,1,3,"radial spoke","CC"
"484",2,"coral1","GO:0060294",0.0246894691413612,0.99979549905116,1,3,"cilium movement involved in cell motility","BP"
"485",2,"coral1","GO:0006360",0.017082827919283,0.999926755935044,1,2,"transcription by RNA polymerase I","BP"
"486",2,"coral1","GO:0032021",0.0170854203681866,0.999926733606018,1,2,"NELF complex","CC"
"487",2,"coral1","GO:0034244",0.0170854203681866,0.999926733606018,1,2,"negative regulation of transcription elongation from RNA polymerase II promoter","BP"
"488",2,"coral1","GO:0007286",0.00857959644793281,1,1,1,"spermatid development","BP"
"489",2,"coral1","GO:0005840",0.0404186894953801,0.992900914103627,3,110,"ribosome","CC"
"490",2,"coral1","GO:0003785",0.0413905723533343,0.999277762410627,1,6,"actin monomer binding","MF"
"491",2,"coral1","GO:0005680",0.0465462325709725,0.999039604542194,1,8,"anaphase-promoting complex","CC"
