PIWI	augustus.g67777.t1	72.960	858	206	6	26	876	28	866	0.0	1285
PIWI	augustus.g53865.t1	48.148	891	422	18	2	876	404	1270	0.0	791
PIWI	augustus.g16051.t1	48.094	892	421	18	2	876	109	975	0.0	790
PIWI	augustus.g15120.t1	26.061	825	503	29	101	855	270	1057	9.83e-49	188
PIWI	adi2mcaRNA4893_R1	26.103	816	503	32	110	855	226	1011	5.95e-47	182
PIWI	augustus.g42199.t1	25.980	816	504	33	110	855	360	1145	1.79e-46	181
PIWI	augustus.g70732.t1	44.186	86	48	0	770	855	11	96	3.08e-17	79.0
PIWI	adi2mcaRNA4933_R0	28.507	221	135	7	564	768	428	641	2.79e-12	71.2
PIWI	adi2mcaRNA4933_R0	21.205	415	253	19	109	474	22	411	2.68e-06	52.0
VASA	adi2mcaRNA36621_R2	86.095	525	70	2	110	634	6	527	0.0	941
VASA	augustus.g9569.t1	56.537	566	213	11	135	675	317	874	0.0	600
VASA	augustus.g66215.t1	56.537	566	213	11	135	675	317	874	0.0	600
VASA	augustus.g23849.t1	53.548	465	199	8	182	634	149	608	1.10e-158	473
VASA	augustus.g8903.t1	39.359	437	246	8	210	642	119	540	2.27e-98	317
VASA	augustus.g32932.t1	39.359	437	246	8	210	642	119	540	2.27e-98	317
VASA	augustus.g38102.t1	40.371	431	233	11	188	612	268	680	7.77e-87	288
VASA	augustus.g62777.t1	39.950	403	223	8	214	610	449	838	9.40e-83	284
VASA	augustus.g17205.t1	39.950	403	223	8	214	610	449	838	1.41e-82	283
VASA	augustus.g23514.t1	36.364	429	254	11	188	607	193	611	4.64e-81	270
VASA	augustus.g69702.t1	39.695	393	211	6	211	580	359	748	1.86e-80	272
VASA	adi2mcaRNA3372_R0	37.427	342	187	5	221	560	99	415	2.30e-65	222
VASA	adi2mcaRNA4296_R0	40.129	309	173	5	232	538	256	554	8.35e-63	219
VASA	augustus.g47027.t1	33.167	401	251	6	205	604	12	396	1.54e-62	214
VASA	augustus.g35989.t1	35.143	350	210	6	241	588	25	359	1.30e-56	199
VASA	adi2mcaRNA1469_R0	34.278	388	215	12	237	607	183	547	3.77e-56	202
VASA	augustus.g13078.t1	41.241	274	153	4	337	608	249	516	7.31e-56	199
VASA	augustus.g13078.t1	35.052	97	58	1	221	317	68	159	1.65e-09	61.6
VASA	augustus.g19212.t1	34.493	345	204	5	239	579	29	355	9.14e-56	197
VASA	augustus.g11201.t1	41.241	274	153	4	337	608	249	516	9.99e-56	199
VASA	augustus.g11201.t1	36.082	97	57	1	221	317	68	159	4.60e-10	63.5
VASA	augustus.g68151.t1	30.886	395	240	9	220	589	118	504	4.34e-52	190
VASA	augustus.g70483.t1	31.351	370	239	5	241	608	64	420	7.58e-52	186
